cpus=12
 stress-ng-matri-110469 [001] 70738.662930: bprint:               sugov_update_single_freq: Balv: CPU:CPU1 process=stress-ng-matri pid 110469, Temp:15, dampen:1024 
 stress-ng-matri-110469 [001] 70738.663064: bprint:               sugov_update_single_freq: Balv: CPU:CPU1 process=stress-ng-matri pid 110469, Temp:15, dampen:1024 
 stress-ng-matri-110469 [001] 70738.663162: bprint:               sugov_update_single_freq: Balv: CPU:CPU1 process=stress-ng-matri pid 110469, Temp:15, dampen:1024 
 stress-ng-matri-110469 [001] 70738.666884: bprint:               sugov_update_single_freq: Balv: CPU:CPU1 process=stress-ng-matri pid 110469, Temp:14, dampen:1024 
 stress-ng-matri-110469 [001] 70738.670890: bprint:               sugov_update_single_freq: Balv: CPU:CPU1 process=stress-ng-matri pid 110469, Temp:15, dampen:1024 
 stress-ng-matri-110469 [001] 70738.674948: bprint:               sugov_update_single_freq: Balv: CPU:CPU1 process=stress-ng-matri pid 110469, Temp:15, dampen:1024 
 stress-ng-matri-110469 [001] 70738.678888: bprint:               sugov_update_single_freq: Balv: CPU:CPU1 process=stress-ng-matri pid 110469, Temp:15, dampen:1024 
 stress-ng-matri-110469 [001] 70738.682894: bprint:               sugov_update_single_freq: Balv: CPU:CPU1 process=stress-ng-matri pid 110469, Temp:15, dampen:1024 
 stress-ng-matri-110469 [001] 70738.686886: bprint:               sugov_update_single_freq: Balv: CPU:CPU1 process=stress-ng-matri pid 110469, Temp:14, dampen:1024 
 stress-ng-matri-110469 [001] 70738.690889: bprint:               sugov_update_single_freq: Balv: CPU:CPU1 process=stress-ng-matri pid 110469, Temp:15, dampen:1024 
 stress-ng-matri-110469 [001] 70738.694912: bprint:               sugov_update_single_freq: Balv: CPU:CPU1 process=stress-ng-matri pid 110469, Temp:14, dampen:1024 
 stress-ng-matri-110469 [001] 70738.698889: bprint:               sugov_update_single_freq: Balv: CPU:CPU1 process=stress-ng-matri pid 110469, Temp:14, dampen:1024 
 stress-ng-matri-110469 [001] 70738.698942: bprint:               sugov_update_single_freq: Balv: CPU:CPU1 process=stress-ng-matri pid 110469, Temp:14, dampen:1024 
 stress-ng-matri-110469 [001] 70738.702893: bprint:               sugov_update_single_freq: Balv: CPU:CPU1 process=stress-ng-matri pid 110469, Temp:15, dampen:1024 
 stress-ng-matri-110469 [001] 70738.706905: bprint:               sugov_update_single_freq: Balv: CPU:CPU1 process=stress-ng-matri pid 110469, Temp:14, dampen:1024 
 stress-ng-matri-110469 [001] 70738.710895: bprint:               sugov_update_single_freq: Balv: CPU:CPU1 process=stress-ng-matri pid 110469, Temp:15, dampen:1024 
 stress-ng-matri-110469 [001] 70738.714886: bprint:               sugov_update_single_freq: Balv: CPU:CPU1 process=stress-ng-matri pid 110469, Temp:15, dampen:1024 
 stress-ng-matri-110469 [001] 70738.718895: bprint:               sugov_update_single_freq: Balv: CPU:CPU1 process=stress-ng-matri pid 110469, Temp:15, dampen:1024 
 stress-ng-matri-110469 [001] 70738.722894: bprint:               sugov_update_single_freq: Balv: CPU:CPU1 process=stress-ng-matri pid 110469, Temp:15, dampen:1024 
 stress-ng-matri-110469 [001] 70738.726892: bprint:               sugov_update_single_freq: Balv: CPU:CPU1 process=stress-ng-matri pid 110469, Temp:15, dampen:1024 
 stress-ng-matri-110469 [001] 70738.730167: bprint:               sugov_update_single_freq: Balv: CPU:CPU1 process=stress-ng-matri pid 110469, Temp:15, dampen:1024 
 stress-ng-matri-110469 [001] 70738.730894: bprint:               sugov_update_single_freq: Balv: CPU:CPU1 process=stress-ng-matri pid 110469, Temp:16, dampen:1024 
 stress-ng-matri-110469 [001] 70738.734895: bprint:               sugov_update_single_freq: Balv: CPU:CPU1 process=stress-ng-matri pid 110469, Temp:15, dampen:1024 
 stress-ng-matri-110469 [001] 70738.738886: bprint:               sugov_update_single_freq: Balv: CPU:CPU1 process=stress-ng-matri pid 110469, Temp:14, dampen:1024 
 stress-ng-matri-110469 [001] 70738.742883: bprint:               sugov_update_single_freq: Balv: CPU:CPU1 process=stress-ng-matri pid 110469, Temp:14, dampen:1024 
 stress-ng-matri-110469 [001] 70738.746863: bprint:               sugov_update_single_freq: Balv: CPU:CPU1 process=stress-ng-matri pid 110469, Temp:14, dampen:1024 
 stress-ng-matri-110469 [001] 70738.750888: bprint:               sugov_update_single_freq: Balv: CPU:CPU1 process=stress-ng-matri pid 110469, Temp:14, dampen:1024 
 stress-ng-matri-110469 [001] 70738.754876: bprint:               sugov_update_single_freq: Balv: CPU:CPU1 process=stress-ng-matri pid 110469, Temp:15, dampen:1024 
 stress-ng-matri-110469 [001] 70738.758883: bprint:               sugov_update_single_freq: Balv: CPU:CPU1 process=stress-ng-matri pid 110469, Temp:14, dampen:1024 
 stress-ng-matri-110469 [001] 70738.758934: bprint:               sugov_update_single_freq: Balv: CPU:CPU1 process=stress-ng-matri pid 110469, Temp:14, dampen:1024 
 stress-ng-matri-110469 [001] 70738.758988: bprint:               sugov_update_single_freq: Balv: CPU:CPU1 process=stress-ng-matri pid 110469, Temp:14, dampen:1024 
 stress-ng-matri-110469 [001] 70738.762883: bprint:               sugov_update_single_freq: Balv: CPU:CPU1 process=stress-ng-matri pid 110469, Temp:14, dampen:1024 
 stress-ng-matri-110469 [001] 70738.766931: bprint:               sugov_update_single_freq: Balv: CPU:CPU1 process=stress-ng-matri pid 110469, Temp:14, dampen:1024 
 stress-ng-matri-110469 [001] 70738.770889: bprint:               sugov_update_single_freq: Balv: CPU:CPU1 process=stress-ng-matri pid 110469, Temp:14, dampen:1024 
 stress-ng-matri-110469 [001] 70738.774871: bprint:               sugov_update_single_freq: Balv: CPU:CPU1 process=stress-ng-matri pid 110469, Temp:15, dampen:1024 
